Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered,Total staff cases as at 13 Sep 2022,Total staff cases as at 20 Sep 2022,Total staff cases as at 21 Sep 2022,Total staff cases as at 28 Sep 2022,Total staff cases as at 05 Oct 2022,Total staff cases as at 12 Oct 2022,Total staff cases as at 19 Oct 2022,Total staff cases as at 26 Oct 2022,Total staff cases as at 02 Nov 2022,Total staff cases as at 09 Nov 2022,Total staff cases as at 16 Nov 2022,Total staff cases as at 23 Nov 2022,Total staff cases as at 30 Nov 2022
QLD,0.0,0.0,1.0,2021-10-21,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-21,,,,,,,,,,,,,,
NSW,291.0,84.0,82.0,2021-10-21,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-21,,,,,,,,,,,,,,
Australia,560.0,1449.0,774.0,2021-10-21,,,,,,,,,,,,,,
VIC,269.0,1357.0,683.0,2021-10-21,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-21,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-22,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-22,,,,,,,,,,,,,,
NSW,291.0,84.0,82.0,2021-10-22,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-22,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-22,,,,,,,,,,,,,,
VIC,269.0,1357.0,683.0,2021-10-22,,,,,,,,,,,,,,
Australia,560.0,1449.0,774.0,2021-10-22,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-22,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-22,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-23,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-23,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-23,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-23,,,,,,,,,,,,,,
NSW,291.0,84.0,83.0,2021-10-23,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-23,,,,,,,,,,,,,,
Australia,572.0,1449.0,776.0,2021-10-23,,,,,,,,,,,,,,
VIC,281.0,1357.0,684.0,2021-10-23,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-23,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-24,,,,,,,,,,,,,,
Australia,572.0,1449.0,776.0,2021-10-24,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-24,,,,,,,,,,,,,,
NSW,291.0,84.0,83.0,2021-10-24,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-24,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-24,,,,,,,,,,,,,,
VIC,281.0,1357.0,684.0,2021-10-24,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-24,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-24,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-25,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-25,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-25,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-25,,,,,,,,,,,,,,
NSW,300.0,84.0,84.0,2021-10-25,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-25,,,,,,,,,,,,,,
VIC,325.0,1363.0,685.0,2021-10-25,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-25,,,,,,,,,,,,,,
Australia,625.0,1455.0,778.0,2021-10-25,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-26,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-26,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-26,,,,,,,,,,,,,,
VIC,325.0,1368.0,688.0,2021-10-26,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-26,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-26,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-26,,,,,,,,,,,,,,
Australia,629.0,1460.0,781.0,2021-10-26,,,,,,,,,,,,,,
NSW,304.0,84.0,84.0,2021-10-26,,,,,,,,,,,,,,
Australia,639.0,1465.0,789.0,2021-10-27,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-27,,,,,,,,,,,,,,
NSW,305.0,89.0,84.0,2021-10-27,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-27,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-27,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-27,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-27,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-27,,,,,,,,,,,,,,
VIC,334.0,1368.0,696.0,2021-10-27,,,,,,,,,,,,,,
